序号,单词,音标,词义
1596,welcome ,welkəm,"n．欢迎
adj.受欢迎的
v.欢迎
int．欢迎"
1597,well,wel,"adj.健康的
adv．好地，令人满意地；完全地
n．井
int．（表示同意，惊讶等）好，好吧；那么
（better，best） "
1598,west ,west,"n．西部，西方
adj. 西方的；向西的"
1599,western ,westən,adj．西方的
1600,wet ,wet,adj．湿的；潮的；多雨的
1601,what ,"hwɔt, hwʌt, 弱hwət","pron．1.（表示疑问）什么；2.（表示建议）怎么样
adv．1.（表示感叹）多么；2.（表示疑问）什么
conj. 引导宾语从句"
1602,when ,wɛn,conj．& adv．当……的时候；什么时候
1603,where ,hwεə,adv．在哪里
1604,whether,'weðə,conj．是否
1605,which ,hwitʃ,adj．& pron.那（哪）一个（些）
1606,while ,hwail,"conj．在……的时候；正当……时
n.一会儿"
1607,white ,hwait,"n．白色
adj.白色的"
1608,who ,hu:,pron．谁
1609,whole ,həul,adj．整个的
1610,whom ,"hu:m, 弱 hum",pron．谁（who的宾格）
1611,whose ,hu:z,pron．谁的
1612,why ,hwai,adv．为什么
1613,wide ,waid,adj．宽的；广泛的
1614,widely ,'waidli,adv．宽阔地；广泛地
1615,widen,'waidən,v．拓宽
1616,wife,waif,n.妻子（复wives） 
1617,wild ,waild,adj．野生的，荒凉的
1618,will ,wɪl,"avx．v．1．（表示将来）将；会
2．（表示同意、允诺）愿意；
3．（表示提问）是否愿意；……好吗？
n.     意志"
1619,win,win,"v.获胜；赢得
（won，won） "
1620,wind ,[wɪnd],n．风
1621,window ,'windəu,n．窗户，视窗
1622,windy ,'windi,adj．有风的；起风的
1623,wine ,wain,n．酒；葡萄酒
1624,wing ,wɪŋ,n．机翼；翅膀
1625,winner ,'winə,n．获胜者
1626,winter ,'wintə,n．冬天；冬季
1627,wisdom ,'wizdəm,n．智慧
1628,wise ,waiz,adj．聪明的，明智的
1629,wish ,wiʃ,"n．愿望，祝愿
v.    希望，想要，祝愿"
1630,with ,"wið, wiθ","prep．1．（表示伴随）与……一道；跟……一起
2．（表示具有）带有；具有
3．（表示手段或方法）以……；用……
4. 和；有  5. 关于"
1631,within ,"wi'ðin, wi'θin",prep．在……范围之内
1632,without ,"wi'ðaut, -'θaut",prep．没有
1633,wolf,wulf,n．狼（复wolves）
1634,woman,'wumən,n.妇女，女人（复women）
1635,wonder,'wʌndə,"v．对……疑惑；想知道
n.奇迹；奇观"
1636,wonderful ,ˈwʌndərfl,adj．美妙的，精彩的；太好了
1637,wood ,wud,n．木头，木材；（复）树林
1638,wooden ,'wudən,adj．木质的
1639,word ,wə:d,n．词，单词；话
1640,work,wə:k,"v．工作；（机器等）运转，活动
n.工作；劳动"
1641,worker ,wə:kə,n．工作者；工人
1642,world ,wɜːld,n．世界
1643,worry,"'wʌri, 'wə:ri","v．担心；烦恼
n.烦恼，担忧"
1644,would,"wud, 弱wəd, əd, d",aux．v．愿意（will的过去式）
1645,wound ,waund,n．创伤，伤口
1646,wounded ,'wu:ndid,adj．受伤的
1647,write ,rait,"v.写；写作；写信（wrote,written）"
1648,writer ,'raitə,n．作家
1649,wrong , rɔŋ,adj．错误的；不正常的；有病的
1650,year , jɪə,n．年
1651,yellow , 'jeləu,"adj.黄色的
n．黄色"
1652,yes ,jes,adv．是；好；同意
1653,yesterday,"'jestədi,-dei",n. & adv．昨天
1654,yet ,jet,adv．尚，还，仍然
1655,young ,jʌŋ,adj．年轻的
1656,zero,"ziərəu, 'zi:rəu",n．＆ nurn．零；零度；零点
1657,zoo,zu:,n．动物园
